video_id,image,class,occluded
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=114.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=113.133333.jpg,4-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,3-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,3-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,pedestrian,False
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=111.466667.jpg,4-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=108.733333.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=105.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=105.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=105.466667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=105.466667.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=105.466667.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,4-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=103.066667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=100.6.jpg,3-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=98.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=98.733333.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=98.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=98.733333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=98.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,4-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=96.6.jpg,4-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,3-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=94.666667.jpg,3-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,pedestrian,False
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,4-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=90.4.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,pedestrian,False
V001,V001__V001_2022-05-19_10-14.mp4#t=88.933333.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=87.733333.jpg,2-wheeler,True
V001,V001__V001_2022-05-19_10-14.mp4#t=85.8.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=85.8.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=85.8.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=85.8.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=85.8.jpg,4-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=83.333333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=83.333333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=83.333333.jpg,2-wheeler,False
V001,V001__V001_2022-05-19_10-14.mp4#t=83.333333.jpg,2-wheeler,False
