cam_id,code,quan,goc,ptz,ten_nut_giao,dung
58af8b69bd82540010390c28,TTH 35.4,Quận 3,300,False,,
56f8d743025e9511002786c5,TTH 29.2,Quận Tân Bình,15,False,,
56de42f611f398ec0c48128a,TTH 8.2,Quận 1,60,False,,
587478d8b807da0011e33cf3,TTH 28.1,Quận Tân Bình,300,False,,
5874769eb807da0011e33cec,TTH 38.3,Quận Tân Bình,345,True,,
586e2995f9fab7001111b0b5,TTH 40.1,Quận Bình Thạnh,345,False,,
587476e3b807da0011e33cee,TTH 38.4,Quận Tân Bình,270,False,,
56df8108c062921100c143db,TTH 23,Quận Phú Nhuận,75,False,,
58ad69c4bd82540010390be7,TTH 34.10,Quận Phú Nhuận,240,False,,
58ad6961bd82540010390be5,TTH 34.9,Quận Phú Nhuận,60,False,,
5874796db807da0011e33cf7,TTH 28.7,Quận Tân Bình,345,True,,
58af8eb2bd82540010390c30,TTH 35.6,Quận 3,210,False,,
58b5752e17139d0010f35d5f,TTH 35.7,Quận 1,315,False,,
587ef859b807da0011e33d5b,TTH 45.1,Quận Bình Thạnh,150,False,,
58af9670bd82540010390c34,TTH 45.3,Quận Bình Thạnh,150,False,,
56df84abc062921100c143e5,TTH 24.2,Quận Gò Vấp,330,False,,
58d7c20ac1e33c00112b321c,TTH 45.4,Quận Bình Thạnh,255,False,,
56de42f611f398ec0c481288,TTH 7.1,Quận 1,210,False,,
56de42f611f398ec0c481287,TTH 6.1,Quận 1,225,False,,
58ad7291bd82540010390bf9,TTH 44.3,Quận Bình Thạnh,270,False,,
58ad6214bd82540010390be2,TTH 38.8,Quận Tân Bình,15,False,,
587c8d97b807da0011e33d49,TTH 34.4,Quận Phú Nhuận,270,False,,
56de42f611f398ec0c48128f,TTH 11.1,Quận 5,75,False,,
5822adbbedeb6c0012a2d65f,TTH 10.1,Quận 5,270,False,,
56de42f611f398ec0c48128b,TTH 9.1,Quận 1,180,False,,
587c79e9b807da0011e33d3d,TTH 40.3,Quận Bình Thạnh,315,False,,
58af99abbd82540010390c39,TTH 36.2,Quận 1,120,False,,
587470c2b807da0011e33ce4,TTH 40.2,Quận Bình Thạnh,90,False,,
586e25e1f9fab7001111b0ae,TTH 28.4,Quận Tân Bình,285,False,,
58af9a07bd82540010390c3b,TTH 36.3,Quận 1,240,False,,
56de42f611f398ec0c481284,TTH 5a,Quận 1,225,False,,
58747923b807da0011e33cf5,TTH 28.2,Quận Tân Bình,210,False,,
587ee7d7b807da0011e33d55,TTH 44.2,Quận Bình Thạnh,180,True,,
587475abb807da0011e33cea,TTH 29.3,Quận Tân Bình,90,False,,
587c8183b807da0011e33d3f,TTH 27.2,Quận Tân Bình,225,False,,
587c8661b807da0011e33d43,TTH 38.6,Quận Tân Bình,45,False,,
56f11ac33ac17b11001c504c,TTH 34.1,Quận Phú Nhuận,315,False,,
56de42f611f398ec0c48128e,TTH 10.2,Quận 5,315,True,,
587479b1b807da0011e33cf9,TTH 28.8,Quận Tân Bình,60,False,,
587ee0ecb807da0011e33d50,TTH 44.4,Quận Bình Thạnh,15,False,,
56de42f611f398ec0c481293,TTH 14.1,Quận 5,75,False,,
56de42f611f398ec0c48128d,TTH 2a,Quận 5,195,True,,
56de42f611f398ec0c481290,TTH 12.1,Quận 5,120,True,,
56de42f611f398ec0c481291,TTH 13.1,Quận 5,,False,,
58e49ff8d9d6200011e0b9d4,TTH 35.2,Quận 3,105,True,,
586e1f18f9fab7001111b0a5,TTH 38.1,Quận Tân Bình,345,False,,
56df807bc062921100c143da,TTH 28.3,Quận Tân Bình,120,False,,
586e266ef9fab7001111b0b0,TTH 28.5,Quận Tân Bình,240,False,,
587efb60b807da0011e33d5d,TTH 45.2,Quận Gò Vấp,75,False,,
58af8d68bd82540010390c2e,TTH 35.5,Quận 3,45,False,,
58df4adedc195800111e04b4,TTH 26.2,Quận Tân Bình,225,False,,
56df8544c062921100c143e6,TTH 29.1,Quận Tân Bình,240,True,,
587ee2aeb807da0011e33d52,TTH 44.1,Quận Phú Nhuận,225,False,,
56de42f611f398ec0c481297,TTH 13.2,Quận 5,270,False,,
